t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
56.57631063,-1.2,1.29,9.42,6.13,-11.25,-4.31,19.19,-1.5,-35.75,-0.77,-0.02,-0.08,-0.63,
56.90167904,-0.29,1.42,9.5,1.5,-3.13,-5.88,17.25,-1.38,-38.56,-0.78,-0.05,-0.06,-0.62,
57.22690248,-1.07,1.46,9.42,-4.81,13.88,-9.44,18.06,-1.75,-38.88,-0.79,-0.02,-0.08,-0.6,
57.55269694,-0.99,0.97,9.46,-2.44,-19.81,-3.19,19.19,0.38,-37.69,-0.8,-0.02,-0.07,-0.59,
57.87783074,-0.14,1.25,9.4,3.13,0.69,-5.81,15.88,0.38,-40.06,-0.81,-0.04,-0.04,-0.58,
58.20431042,-1.1,1.13,9.4,4.06,16.63,-7.94,18.75,0.75,-38.38,-0.82,-0.02,-0.08,-0.56,
58.52926588,-0.97,1.66,9.74,0.38,-16.19,-1.69,19.56,0,-38.19,-0.83,-0.03,-0.09,-0.55,
58.85521412,-0.31,1.15,9.36,-2.19,-3.75,-4.94,14.75,1.06,-40.19,-0.84,-0.05,-0.05,-0.54,
59.18064713,-1.1,1.12,9.44,-3.13,13,-6.25,17,2.19,-38.19,-0.84,-0.03,-0.07,-0.53,
59.50713253,-0.76,1.2,9.44,2.81,-14.13,-2.44,17,3,-39.75,-0.85,-0.03,-0.06,-0.52,
59.83160472,-0.54,1.26,9.47,2.38,9.88,-6.06,15.5,2.56,-40.19,-0.86,-0.04,-0.06,-0.51,
60.15836763,-1.23,1.45,9.59,-0.25,0.19,-4.13,18.5,2.56,-39,-0.86,-0.03,-0.09,-0.5,
60.48350286,-0.8,1.03,9.29,-1.06,-18.81,-2,17,3.25,-40.19,-0.87,-0.04,-0.06,-0.49,
60.8099885,-0.24,1.36,9.35,0.06,14.88,-5.13,13.88,3.25,-40.88,-0.87,-0.05,-0.05,-0.48,
61.13513803,-1.38,1.19,9.52,-0.13,8.81,-5.5,18.69,4.75,-40.06,-0.88,-0.02,-0.09,-0.47,
61.4612484,-0.75,1.32,9.46,0.94,-23.38,0.75,16.88,4.06,-40.06,-0.88,-0.04,-0.06,-0.47,
61.78638506,-0.38,1.15,9.37,-0.13,15.25,-4.94,14.69,4.06,-42,-0.89,-0.05,-0.05,-0.46,
62.1125052,-1.47,1.26,9.53,2.5,-1.5,-1.94,18.69,4.38,-40.38,-0.89,-0.03,-0.09,-0.45,
62.43716025,-0.08,1.44,9.21,1.38,-15.13,1,16.06,3,-42.38,-0.89,-0.06,-0.05,-0.45,
62.76395869,-0.95,1.26,9.57,-5.88,32.44,-6.81,15.75,4.75,-42.5,-0.89,-0.03,-0.08,-0.44,
63.08908939,-1.36,0.95,9.53,0.19,-29.19,3.88,19.56,6.25,-40.38,-0.89,-0.02,-0.08,-0.44,
63.41470861,-0.02,1.02,9.26,4.63,-4.94,1.13,13.19,5.88,-42.75,-0.9,-0.06,-0.02,-0.44,
63.74011374,-1.14,1.1,9.52,1.06,31.19,-11.38,15.75,5.19,-41.25,-0.9,-0.04,-0.08,-0.42,
64.06695986,-1.32,1.43,9.21,0.94,-21.06,-2.19,18.69,4.75,-40,-0.91,-0.04,-0.09,-0.41,
64.39194727,-0.16,1.27,9.78,-4.06,-8.69,-3.44,13.56,5.19,-43.19,-0.91,-0.06,-0.04,-0.4,
64.71848536,-0.84,1.04,9.28,-2.63,18.44,-6.81,14.25,7,-40.88,-0.92,-0.04,-0.06,-0.38,
65.04353142,-1.13,1.11,9.58,7.5,-19.63,0.06,16.88,7,-42.38,-0.92,-0.04,-0.07,-0.37,
65.36978173,-0.18,1.44,9.39,0.31,9.88,-5.56,12.38,5.88,-43.69,-0.93,-0.06,-0.04,-0.36,
65.69439983,-1.35,1.31,9.47,-2.75,9.38,-5.56,15.06,6.25,-41.25,-0.93,-0.04,-0.09,-0.35,
66.02070379,-0.75,1.18,9.55,-2.19,-23.19,0.5,14.69,7.38,-42.06,-0.94,-0.05,-0.05,-0.34,
66.34573197,-0.23,1.15,9.35,3.88,10.94,-2.94,10.88,7,-42.5,-0.94,-0.05,-0.03,-0.34,
66.67286515,-1.19,1.39,9.59,2.56,13.56,-3.88,14.69,6.69,-41.38,-0.94,-0.04,-0.08,-0.33,
66.99700069,-0.95,1.4,9.13,-1.25,-20.38,2.13,15.75,7,-41.38,-0.94,-0.05,-0.07,-0.33,
67.32415485,-0.21,1.24,9.73,-4,7.44,-1.94,11.25,7.75,-42.5,-0.94,-0.06,-0.04,-0.33,
67.64827466,-1.26,0.84,9.12,0.63,7.75,-1,14.69,7.75,-40.88,-0.94,-0.03,-0.07,-0.32,
67.97541451,-0.6,1.37,9.68,6.25,-18.56,3.06,13.19,6.69,-43,-0.94,-0.06,-0.05,-0.32,
68.3005116,-0.53,1.4,9.22,-3.5,22.5,-4.38,11.69,6.69,-43.25,-0.94,-0.06,-0.05,-0.32,
68.6266408,-1.5,1.28,9.44,-2.69,-5.88,1.13,16.06,7,-41.69,-0.94,-0.04,-0.09,-0.32,
68.95132446,-0.24,0.84,9.42,2.44,-29.56,5.31,12.06,7.75,-42.88,-0.94,-0.06,-0.02,-0.33,
69.27803969,-0.18,1.49,9.37,-1.5,49.81,-6.44,10.56,6.69,-43.25,-0.94,-0.05,-0.05,-0.33,
69.60322618,-2.01,1.12,9.46,4.25,-29.5,9.56,18.38,8.5,-40.56,-0.94,-0.03,-0.11,-0.33,
69.92896366,0.13,1.39,9.17,-2.19,-10.94,4.25,10.19,6.25,-44.06,-0.93,-0.08,-0.01,-0.35,
70.25616503,-1.05,1.06,9.37,-9.81,51.75,-6.31,12.38,5.88,-42.19,-0.93,-0.03,-0.08,-0.35,
70.5823257,-1.61,1.04,9.6,9.38,-50.06,16,18.75,7.75,-39,-0.93,-0.03,-0.09,-0.36,
70.90602136,0.72,1.54,8.86,5.75,-1.19,6.88,9.5,4.06,-44.25,-0.92,-0.09,0.01,-0.39,
71.23210955,-1.41,1.48,9.89,-7.63,55.56,-3.19,15.88,3.75,-41,-0.91,-0.04,-0.1,-0.4,
71.55774069,-1.86,1.01,8.79,1.13,-47.63,15.25,22.25,5.25,-37.56,-0.9,-0.02,-0.11,-0.42,
71.88372684,1.23,1.5,9.63,-4.13,4.81,6.56,10,3.75,-43.88,-0.89,-0.08,0.01,-0.45,
72.20756459,-2.2,0.69,9.61,0.44,43.44,1.13,18.69,4.5,-39.06,-0.88,-0.01,-0.11,-0.46,
72.53818417,-0.54,1.6,9.33,9.69,-42.19,14.25,18.38,2.69,-41.5,-0.87,-0.05,-0.07,-0.48,
72.85944676,-0.01,1.7,9.25,-6,21.31,2,13.56,0.75,-41.88,-0.86,-0.07,-0.05,-0.5,
73.1860621,-1.79,0.99,9.24,-9.5,19.56,1.06,20.56,1.88,-38.38,-0.85,0,-0.12,-0.51,
73.51171041,-0.29,0.95,9.65,8.25,-54.19,14,18.75,2.25,-39.56,-0.85,-0.04,-0.05,-0.53,
73.83820391,-0.05,1.61,9.65,-2.25,36.19,-1.19,12.38,0.06,-41.06,-0.84,-0.06,-0.04,-0.54,
74.16301441,-1.94,1.05,9.06,-0.06,28.94,-1.13,22,0.38,-37.56,-0.83,0.01,-0.13,-0.54,
74.4890089,-0.7,1.5,9.47,9.94,-75.69,17.13,17.88,-1.06,-38,-0.82,-0.06,-0.06,-0.56,
74.81494999,1.26,1.48,9.14,-16.31,61.75,-8.25,8.88,-2.25,-39.56,-0.82,-0.09,-0.01,-0.57,
75.14022088,-3.63,0.4,9.03,5.5,-10.94,1.88,24.06,1.75,-33.19,-0.82,0.04,-0.14,-0.56,
75.46529388,1.7,1.82,8.93,12.94,-21.13,5.88,13.75,-1.06,-38.56,-0.81,-0.09,-0.03,-0.57,
75.79224968,-1.85,1.91,10.59,-7,24.19,-7.13,15.88,-2.56,-37.56,-0.81,-0.04,-0.1,-0.57,
76.11768174,-0.69,0.76,7.92,-10.56,-5.13,-1.06,17.06,-0.75,-37.06,-0.82,-0.02,-0.08,-0.57,
76.44403386,-1.33,0.77,10.95,2.25,-11.19,-0.19,16.25,1.19,-36.25,-0.82,-0.01,-0.07,-0.57,
76.76943445,1.01,1.45,8.16,6.56,-0.56,-1.81,12.25,0.06,-38,-0.82,-0.07,-0.03,-0.57,
77.09578633,-2.42,1.32,10.09,-3.44,29.56,-4.13,18.56,-0.25,-35.06,-0.82,0.01,-0.13,-0.55,
77.4209764,-0.62,1.33,9.11,10.44,-58.94,6.25,17.5,0.06,-35.06,-0.83,-0.04,-0.07,-0.56,
77.74686503,0.48,1.7,9.45,-11,30.5,-8.94,10.38,-2.5,-38.19,-0.83,-0.08,-0.03,-0.56,
78.07217479,-2.43,0.84,9.65,-6.88,29.56,-10.69,18.56,1.19,-34.56,-0.84,0.03,-0.13,-0.53,
78.39843798,-0.2,1,9.15,13.13,-71.63,10.13,15.56,0.75,-36.56,-0.84,-0.05,-0.04,-0.54,
78.72321367,0.53,1.65,9.38,-1.56,71.5,-12.81,9.19,-1.75,-38.5,-0.84,-0.07,-0.04,-0.54,
79.04886794,-3.3,1.22,8.91,4.75,-34,6.75,21.88,0.38,-33.69,-0.84,0.01,-0.15,-0.53,
79.37465882,1.27,1.65,8.85,-2.56,-24.13,6.25,10.38,-2.19,-38.19,-0.83,-0.1,-0.02,-0.55,
79.7012701,-1.15,1.13,10.16,-16.38,53.81,-4.88,14.56,0.06,-37.75,-0.83,-0.02,-0.08,-0.55,
80.0263586,-1.68,0.72,9.26,4.94,-25.56,3.75,20.88,2.25,-34.19,-0.83,0.02,-0.1,-0.55,
80.35255384,0.13,1.14,9.19,11.06,-29.06,5.5,12.69,0.06,-38.5,-0.83,-0.07,-0.02,-0.56,
80.67729664,-0.04,1.42,9.73,-0.38,63.06,-8.38,13,-1.5,-37.69,-0.82,-0.05,-0.06,-0.56,
81.00380182,-2.67,1.46,8.6,1.63,-26.13,9.19,23.69,-0.69,-33,-0.82,0.01,-0.15,-0.56,
81.32923317,1.03,1.68,10.18,-6.5,-33.63,11.63,13.75,-2.5,-37.69,-0.81,-0.09,-0.02,-0.59,
81.65879703,-0.42,0.73,9.29,-12.88,70.94,-3.81,15.75,-0.25,-37.69,-0.8,-0.01,-0.06,-0.59,
81.98071194,-2.06,1.1,8.78,18.56,-61.81,15.69,20.69,1.56,-35.38,-0.79,0,-0.09,-0.6,
82.30652547,1.37,1.83,9.39,0.69,36.63,-1.06,10.38,-4.38,-39.69,-0.78,-0.1,-0.03,-0.62,
82.6352756,-2.58,1.33,9.98,-7.19,22.5,0.06,23,-2.88,-35.38,-0.77,0.02,-0.14,-0.62,
82.95854092,-0.12,1.47,9.31,2.19,-74.63,17.81,18.06,-3.25,-35.5,-0.76,-0.06,-0.05,-0.65,
83.28626513,0.24,1.31,8.74,-12.5,64.88,-0.81,11.75,-4,-39,-0.75,-0.06,-0.03,-0.66,
83.61253715,-2.23,0.41,9.94,7.5,-17.63,7.38,23.19,-1.75,-35.75,-0.74,0.04,-0.11,-0.66,
83.93663669,0.18,1.55,9.21,12.25,-21.81,8.75,16.06,-5.06,-38.5,-0.73,-0.06,-0.05,-0.68,
84.26588416,-0.94,1.92,9.59,-10.13,40.31,-5.69,16.88,-6.88,-37.38,-0.72,-0.04,-0.09,-0.69,
84.58608294,-1.14,0.9,9.12,-4.31,-22.94,4.44,21.38,-4.69,-37.38,-0.72,0,-0.09,-0.69,
84.91195893,0,1.07,9.53,-1,-5.63,3,15.38,-4.75,-39.38,-0.71,-0.04,-0.04,-0.7,
85.23673964,-0.75,1.1,9.85,1.88,44.13,-2.81,18.38,-5.06,-39.38,-0.71,0,-0.08,-0.7,
85.56330419,-2.21,1.34,9.05,11.75,-34.69,9.63,24.69,-5.06,-34.19,-0.7,0.02,-0.12,-0.71,
85.88917708,1.12,1.97,9.68,-2.19,-21.25,7.81,13.88,-9.5,-39.69,-0.68,-0.1,-0.04,-0.72,
86.21607471,-0.96,1.13,8.99,-20.44,72.56,-10.81,17.56,-7.25,-38.5,-0.68,0.01,-0.09,-0.73,
86.54123449,-1.65,0.52,10.13,9.38,-60.25,10.63,25.06,-4.38,-35.75,-0.68,0.04,-0.09,-0.73,
86.86659765,1.19,1.11,8.84,10.38,9.63,-0.69,13.19,-7,-41.19,-0.67,-0.08,-0.03,-0.74,
87.19194531,-2.08,1.83,10.07,-0.19,41.13,-4.56,21,-8.88,-37.69,-0.66,0.02,-0.12,-0.74,
87.51853108,-0.41,1.36,8.51,-1.13,-55.38,16.94,21,-9.56,-37.75,-0.64,-0.04,-0.08,-0.76,
87.84358692,-0.03,1.28,9.74,-15.25,42.38,-0.88,15.06,-9.56,-41.56,-0.63,-0.04,-0.05,-0.78,
88.16922331,-0.03,1.28,9.74,-15.25,42.38,-4,25.38,-7.38,-36.5,-0.62,0.06,-0.1,-0.78,
88.49524736,-0.02,1.47,9.31,13,-31.5,9.94,19.88,-9.56,-40.06,-0.6,-0.03,-0.06,-0.79,
88.82185626,-0.38,1.89,9.71,-6.19,22.63,-2.56,16.5,-12.88,-41.19,-0.59,-0.04,-0.08,-0.8,
89.14630961,-1.8,0.76,8.32,-5.06,6.81,2.25,22.88,-10.69,-38,-0.59,0.03,-0.1,-0.8,
89.47336507,-0.34,1.29,10.09,0.25,-12.13,2.19,20.19,-11.06,-39.19,-0.58,0,-0.08,-0.81,
89.79760861,-0.52,1.18,9.53,2,10.25,1.56,20.19,-11.06,-39.19,-0.58,-0.01,-0.08,-0.81,
90.12408614,-1.4,1.38,9.4,3.13,-11.69,1.88,22.06,-11.75,-39.19,-0.57,0.01,-0.09,-0.81,
90.44932461,-0.05,1.62,9.19,-2.44,-9.94,1.56,17.56,-12.88,-41.25,-0.57,-0.05,-0.06,-0.82,
90.77763557,-0.76,0.77,9.62,-7.94,46.25,-5.19,19.88,-11.06,-40.75,-0.57,0.02,-0.08,-0.82,
91.10088563,-1.06,0.81,9.54,10.94,-40.19,3.5,23.88,-9.88,-37.69,-0.57,0.02,-0.09,-0.81,
91.42635584,0,1.89,8.97,6.38,-2.38,-2.69,16.5,-13.69,-41.25,-0.57,-0.06,-0.07,-0.82,
91.75369453,-1.3,1.75,9.73,-15.63,30.5,-8.88,19.5,-13.25,-39.38,-0.58,0,-0.1,-0.81,
92.07846117,-0.84,0.5,8.93,-1.88,-30.69,-0.25,21.69,-8.5,-40.5,-0.59,0.01,-0.07,-0.8,
92.40319777,-0.35,0.91,9.93,9,19.75,-6.63,19.06,-9.19,-40.06,-0.6,-0.01,-0.06,-0.8,
92.72918797,-1.68,1.71,9.43,9,-0.13,-0.19,24.19,-11.06,-37.38,-0.6,0.01,-0.12,-0.79,
93.05557847,-0.64,1.61,8.62,-3.38,-29.38,3.94,19.75,-12.88,-39.38,-0.6,-0.04,-0.08,-0.79,
93.38200998,0.07,1.44,9.87,-13.13,33.75,-8.56,16,-11.06,-42.06,-0.61,-0.04,-0.06,-0.79,
93.70675755,-2.29,0.54,9.27,-0.06,3,-3.94,26.06,-8.06,-38.19,-0.62,0.06,-0.1,-0.78,
94.03265858,0.01,1.19,9.53,15.25,-36.19,2.5,19.75,-9.56,-41,-0.62,-0.04,-0.05,-0.78,
94.3587122,0.17,1.68,9.72,0.94,36.63,-8.38,16,-11.38,-41.75,-0.63,-0.05,-0.07,-0.77,
94.68285584,-2.89,1.57,8.88,1.13,3.06,-11.06,28.56,-10.38,-35.88,-0.64,0.04,-0.15,-0.75,
95.00909257,0.3,1.28,9.47,-11.44,-51.19,8.94,20.06,-10.38,-41.5,-0.65,-0.06,-0.05,-0.76,
95.66002464,-2.53,0.77,9.05,10.5,2.25,3.19,27.88,-7,-37.25,-0.64,0.08,-0.12,-0.75,
95.98739338,0.2,2.02,9.57,11.19,-79.31,14.56,17,-11.19,-40.69,-0.63,-0.09,-0.05,-0.77,
96.31227612,0.57,1.39,9.14,-19.44,95,-16.06,10.69,-11.88,-43.5,-0.63,-0.06,-0.05,-0.78,
96.63833356,-2.1,0.71,8.51,6.38,-29.88,5.38,28.88,-5.56,-37,-0.65,0.06,-0.11,-0.75,
96.96255016,0.32,1.65,10.22,7.94,-53.63,2.31,18.88,-9.25,-41.69,-0.64,-0.07,-0.04,-0.76,
97.28958607,-0.17,1.37,9.53,-9.13,63.56,-14.31,16.69,-9.25,-41.69,-0.66,-0.04,-0.06,-0.75,
97.61465406,-2.11,0.87,9.18,8.63,-30.94,-1.94,27.19,-6.69,-37.38,-0.67,0.03,-0.11,-0.73,
97.94086504,0.83,1.94,9.86,-5.19,-23.69,-5.06,16.38,-8.56,-43.69,-0.68,-0.08,-0.03,-0.73,
98.26611257,-1.65,0.69,8.81,-9.25,70.13,-19.31,21.25,-5.19,-40.88,-0.7,0.02,-0.09,-0.71,
98.59228301,-1.17,1.37,9.73,19.38,-76.38,3.5,25.19,-4.5,-39.25,-0.72,0,-0.08,-0.69,
98.91756034,0.81,1.73,8.82,-0.81,19.81,-12.38,13.5,-7.88,-43.69,-0.72,-0.1,-0.03,-0.68,
99.2452929,-2.44,1.59,9.29,-16.5,34.63,-18.81,25,-3.69,-39.75,-0.75,0.03,-0.12,-0.65,
99.56897664,-0.16,0.62,10.11,9.31,-62.75,1.81,22.25,-0.38,-40.5,-0.76,-0.02,-0.05,-0.64,
99.89529753,-0.36,1.12,8.57,-0.19,36.81,-14.75,16,-2.19,-44.06,-0.78,-0.05,-0.04,-0.63,
100.2204878,-1.21,1.24,9.39,1.69,5.69,-10.13,22.25,-1.06,-42.88,-0.8,-0.01,-0.1,-0.6,
100.5467918,-0.66,1.34,10.11,6.56,-46,-2,20.06,-0.75,-42.5,-0.81,-0.05,-0.06,-0.58,
100.8721151,0.7,1.63,9.09,-5.19,36.69,-14.5,13.5,-0.75,-45.25,-0.82,-0.07,-0.03,-0.57,
101.1982436,-2.33,1.07,9.16,-9.13,3.44,-8.69,26.38,3.69,-40.5,-0.84,0.03,-0.12,-0.53,
101.5225708,0.1,0.6,9.04,14.88,-74.63,5.5,17.38,4,-43.56,-0.85,-0.06,-0.01,-0.53,
101.8524163,0.15,1.86,10.29,-0.5,94.56,-21.56,11.88,0.25,-45.69,-0.85,-0.06,-0.05,-0.52,
102.1736538,-2.21,1.24,7.72,5.19,-18.38,4.81,26,3.38,-39.38,-0.86,0,-0.15,-0.49,
102.5009983,1.04,2.02,11.02,-5.38,-43.38,5.63,15.5,0.75,-44.5,-0.86,-0.08,-0.02,-0.51,
102.8272641,-1.24,1.02,8.19,-10.13,56.38,-7.88,16.69,2.69,-43.69,-0.86,-0.02,-0.08,-0.5,
103.15153,-1.43,0.81,9.38,9.06,-65.63,11.31,21.5,4.06,-43.69,-0.86,-0.02,-0.07,-0.5,
103.4766047,1,1.35,10.11,-2.56,43.69,-6.19,9.56,2.19,-47.25,-0.86,-0.07,-0.01,-0.51,
103.8066313,-1.99,1.12,8.35,5.06,19.31,0.75,24.06,3,-41.38,-0.86,0,-0.13,-0.5,
104.1272752,-0.56,2.16,9.98,2.75,-56.69,6.88,22.19,1.19,-42.5,-0.86,-0.05,-0.08,-0.51,
104.4540293,0.43,0.8,8.91,-12.19,15.19,-2.94,13,1.19,-46.06,-0.86,-0.07,-0.01,-0.51,
104.7791264,-1.27,0.98,10.31,-4.44,38.38,-5.25,18.88,4.5,-43.38,-0.86,0.01,-0.09,-0.5,
105.1058035,-2.09,1.12,9.21,16,-49.19,7.94,24.06,4.06,-41,-0.86,-0.01,-0.1,-0.5,
105.4311762,1.55,1.65,8.66,-0.75,16.31,-2.44,10.75,-0.25,-44.88,-0.85,-0.09,-0.01,-0.52,
105.7585416,-3.01,1.09,10.28,-6.88,13.44,-2.31,23.75,3.06,-41.06,-0.85,0.01,-0.13,-0.5,
106.0829058,0.15,1.28,8.68,12,-54.75,9.63,16.38,1.56,-44.19,-0.85,-0.07,-0.03,-0.52,
106.4095545,-0.2,1.61,9.44,-16,71.38,-13.69,14.69,1.19,-45.69,-0.85,-0.05,-0.06,-0.52,
106.7341688,-2.61,0.5,8.47,0.25,-21.25,0.88,27.75,5.69,-39.06,-0.85,0.04,-0.14,-0.5,
107.0606873,1.2,1.74,10.89,13.81,-45.06,3.94,15.06,2.69,-45,-0.86,-0.08,0,-0.51,
107.3851924,-1.26,1.27,7.49,1.19,61.13,-11.25,16.06,0.5,-43.88,-0.86,-0.06,-0.08,-0.5,
107.7124269,-0.9,2,10.81,-3.13,-35.25,4.5,22.06,0.75,-42.25,-0.86,-0.05,-0.1,-0.49,
108.0370562,-0.08,0.98,8.69,-14.31,13.5,-1.44,16.5,1.56,-45,-0.87,-0.04,-0.05,-0.5,
108.3635795,-0.99,0.73,9.83,0.5,-12.75,0.63,19.19,5.25,-42.56,-0.87,-0.01,-0.06,-0.49,
108.6889191,-0.75,0.94,9.33,8.63,-6.5,-1.19,17.69,3.88,-45,-0.87,-0.04,-0.05,-0.49,
109.0144677,-0.57,1.44,9.89,16.44,8.81,-3.19,17,1.56,-44.56,-0.87,-0.06,-0.06,-0.49,
109.3403912,-0.48,2.23,8.95,-10.75,27.31,-6.19,19.56,-0.25,-43.75,-0.86,-0.06,-0.1,-0.49,
109.6661429,-2.48,0.85,9.21,-7.88,-52.56,4.38,23.56,4.06,-41.06,-0.87,-0.01,-0.1,-0.48,
109.9905748,1.67,0.56,9.82,-2.31,13.13,0,10.69,4.88,-46.25,-0.87,-0.07,0.03,-0.48,
110.3177695,-2.23,0.98,9.3,10.69,33.19,-2.88,21.06,4.06,-41.56,-0.87,-0.01,-0.11,-0.48,
110.6424723,0.03,2.42,9.04,7.31,-34.56,9.69,19.56,0.88,-43.19,-0.86,-0.08,-0.07,-0.49,
110.9691141,-1.24,1.3,9.79,-16.19,20.69,-5.88,18.5,1.25,-43.5,-0.87,-0.05,-0.07,-0.49,
111.2939115,-0.69,0.5,9.1,-4.5,-7.13,0.06,18.5,5.38,-43.06,-0.87,-0.02,-0.05,-0.49,
111.6202495,-0.39,1.39,10.49,8.94,-9.13,-0.81,17.25,4.56,-43.75,-0.87,-0.04,-0.04,-0.49,
111.9483988,-1.3,1.13,8.1,5.63,30.38,-5.31,18.06,2.75,-43.5,-0.87,-0.03,-0.09,-0.48,
112.2729268,-0.34,1.83,9.88,1.13,-21.56,2.63,21.06,1.69,-42.56,-0.87,-0.05,-0.09,-0.48,
